学号,路径,路程/km,高铁|火车,时间/h,没买到想买的票,可支配收入/RMB,自付|家庭报销,票价/RMB,注重舒适程度,注重时间成本
9181XXXX0134,南京-杭州,471,1,1.58,0,2000,1,117.5,1,1
9181XXXX0107,南京-吕梁,1389,0,13,0,1600,0,255,1,0
9171XXXX0432,南京-武汉,514,1,2.87,0,1200,0,200,1,0
9181XXXX0139,南京-苏州,200,1,0.83,0,1500,1,99.5,1,1
9181XXXX0127,南京-太原,1204,1,7.08,0,2000,0,550,1,0
9171XXXX0246,南京-福清,939,1,6.5,0,1500,1,427.5,1,1
9181XXXX0720,南京-莆田,1333,1,6.62,0,2000,0,445.5,1,1
9171XXXX0132,南京-商丘,494,1,2.1,0,2000,1,230,1,0
9181XXXX0433,南京-哈尔滨,2300,1,10.55,0,2000,0,869,1,1
9171XXXX0140,南京-石家庄,1111,1,5.07,0,1200,0,388,1,1
9171XXXX0138,南京-西安,1208,0,12.23,0,1500,1,279.5,1,1
9171XXXX0143,南京-海安,170,1,1.9,0,1500,1,82,1,0
9171XXXX0313,南京-商丘,494,0,16.8,0,1500,1,129,1,0
9171XXXX0245,南京-洛阳,821,1,4,1,1300,0,383,1,1
9171XXXX0427,南京-徐州,348,0,4.17,0,1500,1,51.5,1,1
9181XXXX0112,南京-开封,609,1,2.5,1,3000,1,293,1,1
9181XXXX0227,南京-呼和浩特,1821,0,31.62,0,1000,1,353,0,0
9181XXXX0215,南京-曲靖,2526,1,12.85,0,1200,0,613.5,1,1
9181XXXX0309,南京-齐齐哈尔,2262,0,6.17,0,2000,1,464.5,1,1
9171XXXX0151,南京-上饶,872,1,3.58,1,1200,0,269.5,1,1
9181XXXX0216,南京-黄石,621,1,3.9,1,2000,0,232.5,0,1
9181XXXX0136,南京-北京,1162,1,3.67,0,1800,0,430,1,1
9171XXXX0528,南京-达州,1498,0,22.32,0,1500,0,201.5,0,1
9171XXXX0428,南京-义乌,365,1,2.53,0,1500,1,167.5,0,1
9181XXXX1219,南京-北京,1162,1,4,0,1500,0,445,1,0
9181XXXX0137,南京-娄底,1273,1,6.77,0,1500,1,548,1,1
9181XXXX0120,南京-扬州,101,0,0.83,1,1500,1,37.5,0,0
 9181XXXX0132 ,南京-长春,2000,0,9.93,0,1200,0,765.5,1,1
9171XXXX0240,南京-常州,136,1,0.87,0,1600,1,64.5,1,1
9171XXXX0315,南京-保定,1246,0,19.1,0,1500,1,261.5,1,1
9171XXXX0118,南京-南平,816,1,4.83,0,1000,0,360,1,1
9181XXXX0238,南京-宜昌,805,1,5.17,0,2200,1,308,1,1
